indice,valores_ap,cd_ap,diagCD,descrip,similitud,diagCD2,descrip2,similitud2,,
3481,hemorragia vitrea,A97,F99,HEMORRAGIA VITREA                                           ,0.9999999403953552,F99,HEMORRAGIA NERVIO OPTICO                                    ,0.6833386421203613,,
3482,nevus azul,S82,S82,NEVUS AZUL                                                  ,1.0,S82,NEVUS DE SPITZ                                              ,0.8053110837936401,,
3483,verrugas vulgares,S74,S03,VERRUGA VULGAR                                              ,0.9159691333770752,S03,verrugas,0.8809336423873901,,
3484,vitiligo,S99,S99,vitiligo,1.000000238418579,S99,VITILIGO                                                    ,1.0000001192092896,,
3485,papulas cutaneas pruriginosas,S05,S05,PAPULAS CUTANEAS                                            ,0.8531864285469055,S04,PAPULA CUTANEA                                              ,0.8430426120758057,,
3486,discopatia lumbar coxartrosis incipiente,L86,L84,ARTROSIS LUMBAR                                             ,0.7729604244232178,L84,LUMBOARTROSIS                                               ,0.7311970591545105,,
3487,insuf venosa periferica,K95,K94,TROMBOSIS VENOSA SUPERFICIAL                                ,0.4334279894828796,K92,ENFERMEDAD VASCULAR PERIFERICA                              ,0.4244433641433716,,
3488,vitrectomia,F99,F99,DESPRENDIMIENTO DE VITREO                                   ,0.4996594786643982,F05,DESLUMBRAMIENTO VISUAL                                      ,0.4629502892494201,,
3489,granuloma piogeno dental,S99,S99,GRANULOMA PIOGENO                                           ,0.66229248046875,S99,granuloma piogeno,0.66229248046875,,
3490,tos,F05,R05,TOS                                                         ,1.0000001192092896,R05,tos,1.0000001192092896,,
3491,viriasis,R74,B90,infeccion por vih,0.668067216873169,A76,viruela,0.5960533022880554,,
3492,nodulo ri on derecho,U78,S04,NODULO CUTANEO                                              ,0.8743976354598999,S05,NODULOS CUTANEOS                                            ,0.8739069700241089,,
3493,nodulo cutaneo,S04,S04,NODULO CUTANEO                                              ,0.9999999403953552,S05,NODULOS CUTANEOS                                            ,0.9750145077705384,,
3494,coxartrosis derecho ptc,L89,L89,COXARTROSIS                                                 ,0.7377527952194214,L89,ARTROSIS DE CADERA                                          ,0.555286169052124,,
3495,contusion codo derecho,L10,S16,contusiones con superficie cutanea intacta,0.809188961982727,S16,CONTUSION                                                   ,0.7607536911964417,,
3499,poliquistosis seborreica,S93,S86,dermatitis seborreica cualquier localizacion,0.6915507912635803,S99,QUERATOSIS SEBORREICA                                       ,0.6806162595748901,,
3500,sed excesiva,T01,T01,SED EXCESIVA                                                ,0.9999998807907104,Y70,SIFILIS PRIMARIA (VARON)                                    ,0.5238839983940125,,
3501,hipoestesia,N06,N06,HIPOESTESIA                                                 ,0.9999999403953552,L99,OSTEOARTROPATIA HIPERTROFICA                                ,0.6844140887260437,,
3503,perdida gusto,N16,N16,PERDIDA DEL GUSTO                                           ,0.8950318694114685,N16,otras alteraciones gusto,0.6607173681259155,,
3504,anorexia sindrome constitucional,T03,T06,anorexia nerviosa,0.8201070427894592,T06,ANOREXIA NERVIOSA                                           ,0.8201069831848145,,
3505,bulimia,T06,T06,BULIMIA                                                     ,1.0,T03,anorexia,0.7182921171188354,,
3507,aftas recidivantes,D83,D83,AFTAS RECIDIVANTES                                          ,0.9999998807907104,D88,APENDICITIS RECIDIVANTE                                     ,0.5566619038581848,,
3511,obesidad transas,T82,T82,OBESIDAD                                                    ,0.889720618724823,T82,OBESIDAD MORBIDA                                            ,0.8387339115142822,,
3518,revision sonda,K81,F91,ALTERACION REFRACCION                                       ,0.4807941615581512,W29,revision de la episiotomia,0.4047732055187225,,
3520,querer perder peso,T07,T09,QUERER GANAR PESO                                           ,0.8299021124839783,T08,PERDIDA DE PESO                                             ,0.7385353446006775,,
3522,renovar r,A97,U14,COLICO RENOURETRAL                                          ,0.5360444188117981,U99,ENFERMEDAD RENAL CRONICA                                    ,0.481554627418518,,
3524,perdida peso sindrome consititucional,T08,S94,SINDROME DE UÑAS AMARILLAS                                  ,0.5653867721557617,A76,SINDROME MANO PIE BOCA                                      ,0.5424547791481018,,
3525,talla baja,T10,T10,TALLA BAJA                                                  ,1.0,T10,TALLA BAJA IDIOPATICA                                       ,0.9084084033966064,,
3526,retraso estatural,T10,T10,RETRASO ESTATURAL                                           ,1.0,T10,retraso estatural,1.0,,
3529,acude tarde amigdalitis,A97,R90,amigdalitis cronica,0.6581559777259827,R90,AMIGDALITIS CRONICA                                         ,0.6581557989120483,,
3532,miedo padecer diabetes,T27,T27,miedo a padecer diabetes,0.9767219424247742,T27,MIEDO DE PADECER DIABETES                                   ,0.938359260559082,,
3533,miedo padecer enfermedad infecciosa,A27,A27,MIEDO DE PADECER ENFERMEDAD INFECCIOSA                      ,0.965112328529358,T70,enfermedades infecciosas,0.7788659930229187,,
3534,crecimiento excesivo,T29,T29,CRECIMIENTO EXCESIVO                                        ,1.0,T29,crecimiento excesivo,1.0,,
3540,nodulo tiroideo,T81,T81,NODULO TIROIDEO                                             ,1.0,T81,nodulo tiroideo,1.0,,
3542,nodulo tiroideo,T81,T81,NODULO TIROIDEO                                             ,1.0,T81,nodulo tiroideo,1.0,,
3543,adenoma tiroides,T72,T72,ADENOMA DE TIROIDES                                         ,0.9701287746429444,T72,NEOPLASIA BENIGNA DE TIROIDES                               ,0.8273856043815613,,
3544,nodulo tiroideo peque,T81,T81,NODULO TIROIDEO                                             ,0.9315706491470336,T81,nodulo tiroideo,0.9315706491470336,,
3545,nodulo tiroideo pte paaf,T81,T81,NODULO TIROIDEO                                             ,0.8138422966003418,T81,nodulo tiroideo,0.8138422966003418,,
3547,nodulo tiroideo hipotiroidismo,T81,T81,NODULO TIROIDEO                                             ,0.80384361743927,T81,nodulo tiroideo,0.80384361743927,,
3548,tiroidectomia,T71,T99,TIROIDITIS DE HASHIMOTO                                     ,0.5197921991348267,T85,enfermedad de graves basedow  tirotoxicosis,0.4955150485038757,,
3549,obesidad morbida,T82,T82,OBESIDAD MORBIDA                                            ,1.0000001192092896,T82,OBESIDAD                                                    ,0.8424020409584045,,
3551,obesidad 96 9,T82,T82,OBESIDAD                                                    ,0.8621830940246582,T82,OBESIDAD MORBIDA                                            ,0.808915376663208,,
3554,hipertiroidismo subclinico,T85,T85,HIPERTIROIDISMO SUBCLINICO                                  ,1.0,T86,HIPOTIROIDISMO SUBCLINICO                                   ,0.9298657178878784,,
3555,hipertiroidismo primario,T85,T85,HIPERTIROIDISMO PRIMARIO                                    ,1.0,T86,HIPOTIROIDISMO PRIMARIO                                     ,0.9412158131599426,,
3556,hiperparatiroidismo,T99,T99,HIPERPARATIROIDISMO                                         ,1.0,T99,HIPERPARATIROIDISMO PRIMARIO                                ,0.8553929328918457,,
3558,hipertiroidismo secundario,T85,T85,HIPERTIROIDISMO PRIMARIO                                    ,0.9228402376174928,T85,HIPERTIROIDISMO SUBCLINICO                                  ,0.9091991186141968,,
3559,hipertrofia benigna prostata,T99,Y85,HIPERTROFIA BENIGNA DE PROSTATA                             ,0.9756659865379332,Y85,hipertrofia benigna de prostata,0.9756659269332886,,
3560,hiperparatiroidismo secundario deficit vit d,T99,T99,HIPERPARATIROIDISMO                                         ,0.8253836631774902,B85,HIPERCALCEMIA                                               ,0.743137001991272,,
3561,hipotiroidismo subclinico,T86,T86,HIPOTIROIDISMO SUBCLINICO                                   ,1.0000001192092896,T85,HIPERTIROIDISMO SUBCLINICO                                  ,0.929865539073944,,
3562,hipotiroidismo subclinico tsh 6 ac,T86,T86,HIPOTIROIDISMO SUBCLINICO                                   ,0.5628255605697632,T86,HIPOTIROIDISMO                                              ,0.5497654676437378,,
3563,hipotiroidismo primario,T86,T86,HIPOTIROIDISMO PRIMARIO                                     ,1.0000001192092896,T85,HIPERTIROIDISMO PRIMARIO                                    ,0.9412156343460084,,
3566,hipotiroidismo latente embarazo,T86,T86,HIPOTIROIDISMO PRIMARIO                                     ,0.8013916611671448,T85,HIPERTIROIDISMO PRIMARIO                                    ,0.7654613852500916,,
3568,hipotiroidismo 2 amiodarona,T86,T85,HIPERTIROIDISMO                                             ,0.4980401694774627,T85,hipertiroidismo,0.4980401694774627,,
3569,hipotiroidismo autoinmune,T86,T86,HIPOTIROIDISMO AUTOINMUNE                                   ,1.0,T86,HIPOTIROIDISMO                                              ,0.5886520743370056,,
3570,hipotiroidismo subclinico hashimoto,T86,T86,HIPOTIROIDISMO AUTOINMUNE                                   ,0.7378175258636475,T86,HIPOTIROIDISMO SUBCLINICO                                   ,0.6901509165763855,,
3571,coma hipoglucemico,T87,T87,COMA HIPOGLUCEMICO                                          ,1.0000001192092896,T87,coma hipoglucemico,1.0000001192092896,,
3573,hipocalcemia,B85,B85,HIPOCALCEMIA                                                ,1.0,B85,HIPERCALCEMIA                                               ,0.8136658072471619,,
3574,ingreso neonatal hipoglucemia,A97,T87,HIPOGLUCEMIA                                                ,0.6966683864593506,T87,hipoglucemia,0.6966683268547058,,
3577,hipoacusia oido izqdo,H86,H86,HIPOACUSIA DE CONDUCCION                                    ,0.8104540705680847,H85,HIPOACUSIA POR EXPOSICION CRONICA AL RUIDO                  ,0.7975977063179016,,
3581,diabetes mellitus tipo ii,T90,T90,DIABETES MELLITUS TIPO II                                   ,0.9999998807907104,T90,DIABETES MELLITUS TIPO I                                    ,0.96180659532547,,
3582,diabetes gestacional,T90,T90,diabetes gestacional,0.9999999403953552,T90,DIABETES GESTACIONAL                                        ,0.9999998807907104,,
3583,diabetes mellitus tipo ii ado,T90,T90,DIABETES MELLITUS TIPO II ADO                               ,1.0,T90,DIABETES MELLITUS TIPO II                                   ,0.9312617778778076,,
3584,diabetes mellitus,T90,T90,DIABETES MELLITUS                                           ,1.0000001192092896,T90,diabetes mellitus,1.0000001192092896,,
3585,diabetes mellitus tipo ii isulino dependiente,T27,T90,DIABETES MELLITUS TIPO II ADO                               ,0.9056530594825744,T90,DIABETES MELLITUS TIPO II                                   ,0.8768462538719177,,
3586,dislipemia,T90,T93,DISLIPEMIA                                                  ,1.0,L80,LUXACION ARTICULAR                                          ,0.5559110045433044,,
3587,infeccion vias respiratorias altas,T90,R74,infeccion de vias respiratorias altas,0.938847005367279,R74,INFECCION RESPIRATORIA DE VIAS ALTAS                        ,0.9296419024467468,,
3589,deficit vitamina b,T91,T91,DEFICIT DE VITAMINA B                                       ,0.9884234070777892,B81,ANEMIA POR DEFICIT DE VIT. B12                              ,0.8111118078231812,,
3590,vitamina b12 baja,T91,T91,VITAMINA B12 BAJA                                           ,0.9999998807907104,B81,ANEMIA POR DEFICIT DE VIT. B12                              ,0.5987492799758911,,
3592,deficit vitamina d,T91,T91,DEFICIT DE VITAMINA D                                       ,0.9906162023544312,T91,deficit nutricional de cualquier vitamina,0.7987239360809326,,
3593,hipoproteinemia,T91,T91,HIPOPROTEINEMIA                                             ,0.9999999403953552,T93,HIPERALFALIPOPROTEINEMIA                                    ,0.8591246604919434,,
3595,tapon cerumen,H81,H81,TAPON DE CERUMEN                                            ,0.9405380487442015,H03,TINNITUS                                                    ,0.6253347992897034,,
3596,deficit vitamina b ac folico,T91,T91,DEFICIT DE VITAMINA B                                       ,0.8801046013832092,B81,anemia por deficiencia de vit folatos,0.7942679524421692,,
3597,deficit vitamina d,T91,T91,DEFICIT DE VITAMINA D                                       ,0.9906162023544312,T91,deficit nutricional de cualquier vitamina,0.7987239360809326,,
3599,deficit vitamina b 12,T91,T91,DEFICIT DE VITAMINA B                                       ,0.9255694150924684,B81,ANEMIA POR DEFICIT DE VIT. B12                              ,0.843167245388031,,
3600,tapon cerumen izq,H81,H81,TAPON DE CERUMEN                                            ,0.7559576630592346,R77,CRUP LARINGEO                                               ,0.5112982392311096,,
3601,tapon cerumen derecho,H81,H81,TAPON DE CERUMEN                                            ,0.9125595688819884,H74,OTITIS MEDIA CRONICA SUPURATIVA                             ,0.6080682277679443,,
3602,vitamina b12 baja estable nov 2018,T91,T91,VITAMINA B12 BAJA                                           ,0.7925833463668823,B81,ANEMIA POR DEFICIT DE VIT. B12                              ,0.4431429505348205,,
3604,deficit vitamina d 3,T91,T91,DEFICIT DE VITAMINA D                                       ,0.9419421553611756,T91,deficit nutricional de cualquier vitamina,0.7391770482063293,,
3605,deficit vitamina d 6 27 ferropenica,T91,T91,DEFICIT DE VITAMINA D                                       ,0.780097484588623,T91,deficit nutricional de cualquier vitamina,0.676060676574707,,
3606,quiste garhner,X87,S93,QUISTE TRIQUILEMAL                                          ,0.6329447627067566,L87,QUISTE DE BAKER                                             ,0.6267186999320984,,
3607,vitamina b12 baja ferropenia,T91,T91,VITAMINA B12 BAJA                                           ,0.8552494049072266,B85,FERRITINA ALTA                                              ,0.7035806775093079,,
3608,vitamina b12 baja ferropenia ac folico,T91,T91,VITAMINA B12 BAJA                                           ,0.8656604290008545,T91,ACIDO FOLICO BAJO                                           ,0.7753052711486816,,
3609,upp sacro,U99,Y02,dolor pelvico masculino,0.5260701775550842,L79,ESGUINCE ARTICULACION SACROILIACA                           ,0.4978111684322357,,
3610,posible ait,K89,K89,AIT                                                         ,0.5694419741630554,D83,AFTAS RECIDIVANTES                                          ,0.4472762942314148,,
3611,deficit vitamina d deficincia,T91,T91,DEFICIT DE VITAMINA D                                       ,0.9651339650154114,T91,deficit nutricional de cualquier vitamina,0.820148229598999,,
3614,pabij,D82,F95,BIZQUEO                                                     ,0.4492730498313904,K84,HEMIBLOQUEO DE RAMA IZDA                                    ,0.4152286052703857,,
3615,infarto agudo,K75,K76,infarto antiguo,0.8369647264480591,K75,infarto agudo de miocardio,0.7722136974334717,,
3616,deficit vitamina d3,T91,T91,DEFICIT DE VITAMINA D                                       ,0.9316380620002748,T91,deficit nutricional de cualquier vitamina,0.7687326669692993,,
3619,amigdalitis aguda bilateral ira,T91,R76,AMIGDALITIS AGUDA                                           ,0.7864282727241516,R76,amigdalitis aguda,0.7864280939102173,,
3621,hierro bajo antecedentes anemia,T91,T91,deficiencia de hierro sin anemia,0.7887555956840515,B27,MIEDO DE PADECER ANEMIA                                     ,0.7462306618690491,,
3622,astenia anemia ferro,A04,B80,ANEMIA FERROPENICA                                          ,0.8040485978126526,B80,anemia ferropenica,0.8040485382080078,,
3624,tendinitis eii,L87,L87,TENDINITIS                                                  ,0.8353203535079956,L87,tendinitis,0.8353202939033508,,
3626,ataque isquemico transitorio,K89,K89,isquemia cerebral transitoria,0.5411666631698608,K89,ISQUEMIA CEREBRAL TRANSITORIA                               ,0.5411664247512817,,
3627,deficit vitamina d hierro,T91,T91,DEFICIT DE VITAMINA D                                       ,0.960008144378662,T91,deficit nutricional de cualquier vitamina,0.8421687483787537,,
3630,desnutricion,T91,T91,DESNUTRICION                                                ,1.0000001192092896,T91,DESNUTRICION CALORICA                                       ,0.929078221321106,,
3631,epistaxis sordera,R06,R06,EPISTAXIS                                                   ,0.9148314595222472,R06,hemorragia nasal,0.7153851389884949,,
3632,epistaxis sordera,R06,R06,EPISTAXIS                                                   ,0.9148314595222472,R06,hemorragia nasal,0.7153851389884949,,
3633,insuficiencia vitamina d,T91,T91,DEFICIT DE VITAMINA D                                       ,0.9364801645278932,T91,deficit nutricional de cualquier vitamina,0.7757652401924133,,
3634,aplv,A12,K90,ACV                                                         ,0.600739061832428,P19,ADVP                                                        ,0.4592145681381225,,
3636,infeccion tracto urinario,U71,U71,infeccion tracto urinario,1.0000001192092896,U71,INFECCION TRACTO URINARIO INFERIOR                          ,0.975389003753662,,
3638,hiperlipidemia,T93,T93,HIPERLIPIDEMIA                                              ,0.9999998807907104,T93,hiperlipoproteinemia,0.9677010774612428,,
3639,hipertrigliceridemia,T93,T93,HIPERTRIGLICERIDEMIA                                        ,1.0,T93,hiperlipoproteinemia,0.8059866428375244,,
3640,dislipemia,T93,T93,DISLIPEMIA                                                  ,1.0,L80,LUXACION ARTICULAR                                          ,0.5559110045433044,,
3642,hiperlipemia mixta,T93,T93,HIPERLIPEMIA MIXTA                                          ,1.0,T93,HIPERLIPIDEMIA                                              ,0.6764646768569946,,
3643,quiste triquilemal,S93,S93,QUISTE TRIQUILEMAL                                          ,0.9999999403953552,L87,QUISTE SINOVIAL                                             ,0.5887422561645508,,
3651,tiroiditis aguda hipotiroidismo,T99,T99,TIROIDITIS AGUDA SUPURADA                                   ,0.794106125831604,T99,TIROIDITIS CRONICA                                          ,0.7485904097557068,,
3652,delirio metabolico,P71,P71,delirium,0.7609033584594727,P71,DELIRIUM                                                    ,0.7609032392501831,,
3657,distimia reactiva,P76,P76,DISTIMIA                                                    ,0.7847205400466919,T99,ALTERACION METABOLICA DE LOS AMINOACIDOS                    ,0.503078043460846,,
3663,sindrome ovario poliquistico,X99,X99,SINDROME DEL OVARIO POLIQUISTICO                            ,0.9604308009147644,T99,OVARIO POLIQUISTICO                                         ,0.8111596703529358,,
3664,deficit hormona crecimiento,T99,T99,DEFICIT HORMONA DEL CRECIMIENTO                             ,0.9753392934799194,T99,DEFICIT DE GONADOTROFINA                                    ,0.703319787979126,,
3665,aumento psa,Y06,S86,CASPA                                                       ,0.5053098797798157,S86,caspa,0.5053098797798157,,
3670,hipotiroidismo tiroiditis,T86,T99,TIROIDITIS AGUDA SUPURADA                                   ,0.6654561758041382,T99,TIROIDITIS CRONICA                                          ,0.6324350237846375,,
3671,tiroiditis hashimoto,T99,T99,TIROIDITIS DE HASHIMOTO                                     ,0.9849029183387756,T99,TIROIDITIS CRONICA                                          ,0.6906114816665649,,
3672,fibromialgia,L18,L18,FIBROMIALGIA                                                ,0.9999998807907104,L08,OMALGIA                                                     ,0.7732307314872742,,
3673,artralgia fibromialgia,L20,L20,ARTRALGIA                                                   ,0.777926504611969,L20,artralgia,0.7779264450073242,,
3676,dolor precordial,K01,K01,DOLOR PRECORDIAL                                            ,1.0,K01,DOLOR CARDIACO                                              ,0.8273621797561646,,
3677,disuria,U01,U01,DISURIA                                                     ,0.9999999403953552,U01,disuria,0.9999999403953552,,
3678,dolor neuropatico,N29,N29,DOLOR NEUROPATICO                                           ,0.9999999403953552,D06,DOLOR ABDOMINAL LOCALIZADO                                  ,0.6391434669494629,,
3679,miccion frecuente,U02,U02,MICCION FRECUENTE                                           ,1.0,U02,miccion frecuente,1.0,,
3680,polaquiuria,U02,U02,POLAQUIURIA                                                 ,0.9999998211860656,U02,POLIURIA                                                    ,0.6301732063293457,,
3682,urgencia miccional hbp,U02,U02,URGENCIA MICCIONAL                                          ,0.6431878209114075,U02,urgencia miccional,0.6431875824928284,,
3683,urgencia miccional hbp,U02,U02,URGENCIA MICCIONAL                                          ,0.6431878209114075,U02,urgencia miccional,0.6431875824928284,,
3684,intervencion varices derecho,K95,K99,VARICES EXCEPTO EN  PIERNAS                                 ,0.8085205554962158,K95,SINDROME VARICOSO                                           ,0.7411743402481079,,
3685,amigdalitis repeticion,R76,R90,AMIGDALITIS CRONICA                                         ,0.7707005739212036,R90,amigdalitis cronica,0.7707004547119141,,
3687,incontinencia urinaria moderada,U04,U04,INCONTINENCIA URINARIA                                      ,0.9297454953193665,U04,incontinencia urinaria,0.9297454953193665,,
3688,incontinencia urinaria esfuerzo,U04,U04,INCONTINENCIA URINARIA DE ESFUERZO                          ,0.9738478064537048,U04,incontinencia urinaria de esfuerzo,0.9738478064537048,,
3689,incontinencia urinaria,U04,U04,incontinencia urinaria,1.000000238418579,U04,INCONTINENCIA URINARIA                                      ,1.0,,
3690,incontinencia urinaria mixta,U04,U04,incontinencia urinaria mixta,1.0,U04,INCONTINENCIA URINARIA MIXTA                                ,0.9999999403953552,,
3691,incontinencia urinaria urgencia,U04,U04,INCONTINENCIA URINARIA DE URGENCIA                          ,0.9915812611579896,U04,incontinencia urinaria,0.9457804560661316,,
3693,incontinencia urinaria,U04,U04,incontinencia urinaria,1.000000238418579,U04,INCONTINENCIA URINARIA                                      ,1.0,,
3694,uropatia obstructiva bilateral,U95,U99,OBSTRUCCION CUELLO VESICAL                                  ,0.6186426877975464,U95,CALCULO URETERAL                                            ,0.6051092147827148,,
3695,incontinencia urinaria mixta cistoceleii iii,U04,U04,INCONTINENCIA URINARIA MIXTA                                ,0.8478127717971802,U04,incontinencia urinaria mixta,0.8478127717971802,,
3696,incontinencia urinaria mixta cistoceleii iii,U04,U04,INCONTINENCIA URINARIA MIXTA                                ,0.8478127717971802,U04,incontinencia urinaria mixta,0.8478127717971802,,
3697,cistocele quiste anexial incontinenc urin dispaurenia,X87,U04,INCONTINENCIA URINARIA POR INESTABILIDAD DETRUSOR           ,0.6025300025939941,U04,INCONTINENCIA URINARIA MIXTA                                ,0.5996513366699219,,
3698,cistocele quiste anexial incontinenc urin dispaurenia,X87,U04,INCONTINENCIA URINARIA POR INESTABILIDAD DETRUSOR           ,0.6025300025939941,U04,INCONTINENCIA URINARIA MIXTA                                ,0.5996513366699219,,
3699,cistocele quiste anexial incontinenc urin dispaurenia,X87,U04,INCONTINENCIA URINARIA POR INESTABILIDAD DETRUSOR           ,0.6025300025939941,U04,INCONTINENCIA URINARIA MIXTA                                ,0.5996513366699219,,
3700,cistocele quiste anexial incontinenc urin dispaurenia,X87,U04,INCONTINENCIA URINARIA POR INESTABILIDAD DETRUSOR           ,0.6025300025939941,U04,INCONTINENCIA URINARIA MIXTA                                ,0.5996513366699219,,
3701,incontinencia urinaria vejiga esfuerzo,U04,U04,INCONTINENCIA URINARIA DE ESFUERZO                          ,0.850399911403656,U04,incontinencia urinaria de esfuerzo,0.850399911403656,,
3702,incontinencia urinaria eneuresis,U04,U04,incontinencia urinaria de esfuerzo,0.791925311088562,U04,INCONTINENCIA URINARIA DE ESFUERZO                          ,0.7919251918792725,,
3703,incontinencia urinaria fecal,U04,D17,INCONTINENCIA FECAL                                         ,0.966516613960266,D17,incontinencia fecal,0.966516613960266,,
3704,incontinencia urinaria fecal,U04,D17,INCONTINENCIA FECAL                                         ,0.966516613960266,D17,incontinencia fecal,0.966516613960266,,
3706,sintoma signo miccion,U05,U05,SINTOMA, SIGNO DE LA MICCION                                ,0.782669723033905,R23,signos y sintomas de la voz,0.7524791359901428,
3707,sintomas tracto urinario inferior,U05,U05,SINTOMAS DE TRACTO URINARIO INFERIOR                        ,0.9677417278289796,U05,otros sintomas de tracto urinario inferior,0.8400508165359497,,
3713,pitiriasis rubra pilaris,S99,S99,PITIRIASIS RUBRA PILARIS                                    ,1.0,S90,PITIRIASIS ROSADA                                           ,0.8318990468978882,,
3718,microhematuria,U06,U06,MICROHEMATURIA                                              ,1.0,U06,HEMATURIA MICROSCOPICA                                      ,0.842341423034668,,
3719,hematuria macroscopica,U06,U06,HEMATURIA MACROSCOPICA                                      ,1.0,U06,hematuria macro,0.9311434030532836,,
3720,hematuria microscopica,U06,U06,HEMATURIA MICROSCOPICA                                      ,1.0,U06,HEMATURIA MACROSCOPICA                                      ,0.9054412841796876,,
3721,hematuria itu,U06,U06,HEMATURIA                                                   ,0.8255036473274231,U06,hematuria,0.8255035877227783,,
3723,polaquiuria hematuria,U02,U02,POLAQUIURIA                                                 ,0.74383944272995,U06,HEMATURIA                                                   ,0.6306835412979126,,
3724,fiebre hematuria macroscopica,A03,A77,FIEBRE HEMORRAGICA                                          ,0.7334764003753662,A77,FIEBRE HEMORRAGICA POR ARTROPODOS                           ,0.6682521104812622,,
3725,disuria hematuria,U01,U06,HEMATURIA                                                   ,0.7368485331535339,U06,hematuria,0.7368485331535339,,
3726,disuria hematuria,U01,U06,HEMATURIA                                                   ,0.7368485331535339,U06,hematuria,0.7368485331535339,,
3727,hemograma normal ferritina baja,A04,B85,FERRITINA ALTA                                              ,0.651121199131012,T91,FERRITINA BAJA                                              ,0.6239942312240601,,
3730,sintoma signo orina,U07,U07,SINTOMA, SIGNO EN LA ORINA                                  ,0.8750035762786865,U07,otros signos y sintomas de la orina,0.8021556735038757,
3731,sintoma orina,U07,U07,SINTOMA, SIGNO EN LA ORINA                                  ,0.8065499663352966,R08,SINTOMA, SIGNO NASAL                                        ,0.677190899848938
3732,dolor vejiga,U13,U13,DOLOR VEJIGA                                                ,1.0000001192092896,U13,dolor en vejiga,0.8689846396446228,,
3734,dolor perine mujer,X01,Y02,DOLOR EN PERINE                                             ,0.7916240692138672,X01,DOLOR EN PERINE (MUJER)                                     ,0.7742131948471069,,
3735,dolor hombro izqdo,A01,L08,DOLOR HOMBRO NC                                             ,0.6069580316543579,L92,HOMBRO DOLOROSO                                             ,0.578350305557251,,
3736,mareo dolor eess,N17,N88,cualquier tipo de epilepsia,0.5448792576789856,N88,CONVULSION EPILEPTICA                                       ,0.52632075548172,,
3737,dolor hombro izdo,A01,L92,HOMBRO DOLOROSO                                             ,0.6687976717948914,L08,DOLOR HOMBRO NC                                             ,0.6111598610877991,,
3740,dolor oido ambos as,H01,L10,DOLOR DE CODO                                               ,0.6033005714416504,L09,DOLOR DE BRAZO                                              ,0.5989246964454651,,
3741,dolor hemit rax derecho estudio,A01,R07,estornudo,0.5012688040733337,R07,ESTORNUDO                                                   ,0.501268744468689,,
3742,sincope dolor,A06,A06,SINCOPE POR DOLOR                                           ,0.8504947423934937,A06,desmayo sincope,0.7051937580108643,,
3745,dolor hombro nc ambos as,L08,L08,DOLOR HOMBRO NC                                             ,0.731609046459198,L92,HOMBRO DOLOROSO                                             ,0.6175835728645325,,
3746,dolor muslo derecho,L14,L14,DOLOR DE MUSLO                                              ,0.7973799109458923,L12,DOLOR DEDOS DE MANO                                         ,0.6698333024978638,,
