indice|level|info|code
16|fallo|No tenemos ciap|34139004 
17|AP|enfermedad encias no especificada|D82
17||Codigo ciap mas apropiado | D19
17|Differ GT|Recomienda LLM enfermedad de las encías simil 73 AP: D19|18718003
17||Codigo ciap mas apropiado | L99
17||Codigo ciap mas apropiado | A78
17|Differ GT|Recomienda LLM2  enfermedad de las encías simil 66 AP: L99|238153009
17|Differ GT|Recomienda LLM2  enfermedad de las encías simil 66 AP: A78|238153009
18|AP|enfermedad labios no especificada|D83
18|correcto|correcto AP D83 llm 90678009 |
19|AP|enfermedad glandulas salivares no especificada|D83
19|correcto|correcto AP D83 llm 10890000 |
20|AP|gastritis no especificada|D87
20|correcto|correcto AP D87 llm 4556007 |
21|AP|conjuntivitis no especificada ambos as|F02
21||Codigo ciap mas apropiado | F70
21||Codigo ciap mas apropiado | F73
21||Codigo ciap mas apropiado | F20
21|Igual GT|Recomienda LLM conjuntivitis simil 88 AP: F70|9826008
21|Differ GT|Recomienda LLM conjuntivitis simil 88 AP: F73|9826008
21|Differ GT|Recomienda LLM conjuntivitis simil 88 AP: F20|9826008
21||Codigo ciap mas apropiado | F70
21||Codigo ciap mas apropiado | F73
21||Codigo ciap mas apropiado | F20
21|Igual GT|Recomienda LLM2 conjuntivitis simil 83 AP: F70|9826008
21|Differ GT|Recomienda LLM2  conjuntivitis simil 83 AP: F73|9826008
21|Differ GT|Recomienda LLM2  conjuntivitis simil 83 AP: F20|9826008
22|AP|perdida vision no especificada|F05
22|correcto|correcto AP F05 llm 274571007 |
23|AP|retinopatia diabetica no proliferativa ambos as|F83
23|fallo|No tenemos ciap|769185003 
24|AP|retinopatia no especificada ambos as prematuro|F83
24|fallo|No tenemos ciap|769186002 
25|AP|infarto agudo miocardio no q scasest iam no q|K75
25|correcto|correcto AP K75 llm 401303003 |
26|AP|dolor toracico no coronario|K74
26|fallo|No tenemos ciap|161972006 
27|AP|taquicardia paroxistica ventricular no sostenida|K79
27|correcto|correcto AP K79 llm 66657009 |
28|AP|valvulopatia no especificada|K83
28|correcto|correcto AP K83 llm 368009 |
29|AP|problema cardiovascular no especificado|K29
29||Codigo ciap mas apropiado | K74
29|Differ GT|Recomienda LLM dolor de una estructura cardiovascular simil 67 AP: K74|301358001
29|correcto|correcto AP K29 llm 282728007 |
30|AP|no acudio cita con enfermeria|A97
30|fallo|No tenemos ciap|271817008 
31|AP|fractura no especificada|L76
31|correcto|correcto AP L76 llm 423125000 |
32|AP|inf vac no fin|A97
32||Codigo ciap mas apropiado | A76
32||Codigo ciap mas apropiado | A76
32|Differ GT|Recomienda LLM vaccina simil 58 AP: A76|111852003
32|Differ GT|Recomienda LLM vaccina simil 58 AP: A76|111852003
32||Codigo ciap mas apropiado | R74
32|Differ GT|Recomienda LLM2  vaccina simil 57 AP: R74|26941000119100
33|AP|desviacion columna no especificada|L85
33|correcto|correcto AP L85 llm 298494008 |
34|AP|dermatosis no infecciosa parpados|F99
34||Codigo ciap mas apropiado | F72
34|Igual GT|Recomienda LLM dermatosis no infecciosa del párpado simil 94 AP: F72|111524003
34||Codigo ciap mas apropiado | F72
34||Codigo ciap mas apropiado | F16
34|Igual GT|Recomienda LLM2 dermatosis no infecciosa del párpado simil 82 AP: F72|402700001
34|Differ GT|Recomienda LLM2  dermatosis no infecciosa del párpado simil 82 AP: F16|402700001
35|AP|dermatosis no infecciosa parpado|F99
35||Codigo ciap mas apropiado | F72
35|Igual GT|Recomienda LLM dermatosis no infecciosa del párpado simil 95 AP: F72|111524003
35||Codigo ciap mas apropiado | F72
35||Codigo ciap mas apropiado | F16
35|Igual GT|Recomienda LLM2 dermatosis no infecciosa del párpado simil 83 AP: F72|402700001
35|Differ GT|Recomienda LLM2  dermatosis no infecciosa del párpado simil 83 AP: F16|402700001
36|AP|no acude demanda|A97
36||Codigo ciap mas apropiado | P06
36|Differ GT|Recomienda LLM no duerme lo suficiente simil 61 AP: P06|248256006
36||Codigo ciap mas apropiado | A04
36|Differ GT|Recomienda LLM2  no duerme lo suficiente simil 61 AP: A04|367391008
37|AP|enfermedad mental no especificada sd diogenes|P99
37||Codigo ciap mas apropiado | P29
37|Differ GT|Recomienda LLM enfermedad mental crónica simil 71 AP: P29|128293007
37||Codigo ciap mas apropiado | P23
37|Differ GT|Recomienda LLM2  enfermedad mental crónica simil 58 AP: P23|26453000
38|AP|no acude|A97
38|fallo|No tenemos ciap|302045007 
39|AP|asma leve persistente no alergico|R96
39|correcto|correcto AP R96 llm 707511009 |
40|AP|infeccion piel no esp urg|S76
40||Codigo ciap mas apropiado | S74
40||Codigo ciap mas apropiado | S29
40||Codigo ciap mas apropiado | S21
40||Codigo ciap mas apropiado | S08
40|Differ GT|Recomienda LLM infección de la piel simil 60 AP: S74|108365000
40|Differ GT|Recomienda LLM infección de la piel simil 60 AP: S29|108365000
40|Differ GT|Recomienda LLM infección de la piel simil 60 AP: S21|108365000
40|Differ GT|Recomienda LLM infección de la piel simil 60 AP: S08|108365000
40|correcto|correcto AP S76 llm 238417000 |
41|AP|enfermedad pelo no especificada|S24
41||Codigo ciap mas apropiado | A78
41||Codigo ciap mas apropiado | A10
41|Differ GT|Recomienda LLM enfermedad en un recién nacido simil 82 AP: A78|22925008
41|Differ GT|Recomienda LLM enfermedad en un recién nacido simil 82 AP: A10|22925008
41||Codigo ciap mas apropiado | S22
41|Differ GT|Recomienda LLM2  enfermedad en un recién nacido simil 78 AP: S22|17790008
42|AP|quiste backer izquierdo no complicado|L87
42||Codigo ciap mas apropiado | K77
42|Differ GT|Recomienda LLM insuficiencia ventricular izquierda aguda simil 55 AP: K77|364006
42||Codigo ciap mas apropiado | K77
42|Differ GT|Recomienda LLM2  insuficiencia ventricular izquierda aguda simil 55 AP: K77|364006
43|AP|carencia nutritiva no especificada|T91
43|correcto|correcto AP T91 llm 70241007 |
44|AP|no acude vac 11m|A97
44||Codigo ciap mas apropiado | A76
44||Codigo ciap mas apropiado | A76
44|Differ GT|Recomienda LLM vaccina simil 48 AP: A76|111852003
44|Differ GT|Recomienda LLM vaccina simil 48 AP: A76|111852003
44||Codigo ciap mas apropiado | A76
44||Codigo ciap mas apropiado | A76
44|Differ GT|Recomienda LLM2  vaccina simil 43 AP: A76|111852003
44|Differ GT|Recomienda LLM2  vaccina simil 43 AP: A76|111852003
45|AP|litiasis renal 4mm no obstructiva|U95
45|correcto|correcto AP U95 llm 95570007 |
46|AP|orina anormal uretritis no gonococica|U07
46|fallo|No tenemos ciap|51105006 
47|AP|eccema no especificado posiblemente farmacos|S88
47||Codigo ciap mas apropiado | S87
47||Codigo ciap mas apropiado | S92
47|Differ GT|Recomienda LLM erupción eccematosa farmacógena simil 75 AP: S87|238990009
47|Differ GT|Recomienda LLM erupción eccematosa farmacógena simil 75 AP: S92|238990009
47||Codigo ciap mas apropiado | S87
47||Codigo ciap mas apropiado | S92
47|Differ GT|Recomienda LLM2  erupción eccematosa farmacógena simil 73 AP: S87|123704008
47|Differ GT|Recomienda LLM2  erupción eccematosa farmacógena simil 73 AP: S92|123704008
48|AP|no acude|A97
48|fallo|No tenemos ciap|302045007 
49|AP|embarazo complicado causas no obstetricas|W77
49||Codigo ciap mas apropiado | W84
49|Differ GT|Recomienda LLM embarazo múltiple no diagnosticado simil 76 AP: W84|237236005
49||Codigo ciap mas apropiado | W71
49||Codigo ciap mas apropiado | W75
49||Codigo ciap mas apropiado | W29
49||Codigo ciap mas apropiado | W99
49||Codigo ciap mas apropiado | W92
49||Codigo ciap mas apropiado | W96
49||Codigo ciap mas apropiado | W95
49|Differ GT|Recomienda LLM2  embarazo múltiple no diagnosticado simil 70 AP: W71|198609003
49|Differ GT|Recomienda LLM2  embarazo múltiple no diagnosticado simil 70 AP: W75|198609003
49|Igual GT|Recomienda LLM2 embarazo múltiple no diagnosticado simil 70 AP: W29|198609003
49|Differ GT|Recomienda LLM2  embarazo múltiple no diagnosticado simil 70 AP: W99|198609003
49|Differ GT|Recomienda LLM2  embarazo múltiple no diagnosticado simil 70 AP: W92|198609003
49|Differ GT|Recomienda LLM2  embarazo múltiple no diagnosticado simil 70 AP: W96|198609003
49|Differ GT|Recomienda LLM2  embarazo múltiple no diagnosticado simil 70 AP: W95|198609003
50|AP|no acude control 12|A97
50|fallo|No tenemos ciap|302045007 
51|AP|consulta sin enfermedad|A94
51|fallo|No tenemos ciap|1290509001 
52|AP|itu no complicada|U71
52|fallo|No tenemos ciap|359656003 
53|AP|nodulo mamario mujer derecho eco no malignidad|X19
53|fallo|No tenemos ciap|13482005 
54|AP|sintoma signo genital no especificado mujer|X29
54||Codigo ciap mas apropiado | X01
54|Differ GT|Recomienda LLM síntomas de los órganos genitales femeninos simil 74 AP: X01|198401009
54||Codigo ciap mas apropiado | U79
54|Differ GT|Recomienda LLM2  síntomas de los órganos genitales femeninos simil 56 AP: U79|94925002
55|AP|cervicalgia dorsalgia con disestesia brazo derecho|L01
55|fallo|No tenemos ciap|279038004 
56|AP|consulta sin enfermedad|L03
56|fallo|No tenemos ciap|1290509001 
57|AP|testiculo no descendido ambos as|Y83
57|fallo|No tenemos ciap|204878001 
58|AP|fiebre sin foco itu ostom|A03
58|correcto|correcto AP A03 llm 704425001 |
59|AP|fiebre sin foco|A03
59|fallo|No tenemos ciap|19044004 
60|AP|fiebre sin foco itu ostom|A03
60|correcto|correcto AP A03 llm 704425001 |
61|AP|fiebre sin foco neumonia basal derecha|A03
61|correcto|correcto AP A03 llm 704425001 |
62|AP|fiebre con exantema|A76
62|fallo|No tenemos ciap|186772009 
63|AP|fiebre sin focalidad|A03
63||Codigo ciap mas apropiado | A78
63|Differ GT|Recomienda LLM fiebre de los pantanos simil 69 AP: A78|77377001
63||Codigo ciap mas apropiado | R99
63|Differ GT|Recomienda LLM2  fiebre de los pantanos simil 67 AP: R99|75116005
64|AP|dolor toracico no especificado|A11
64|fallo|No tenemos ciap|161972006 
65|AP|dolor torax no especificado|A11
65|fallo|No tenemos ciap|161972006 
66|AP|enfermedad viral con exantema|A76
66|correcto|correcto AP A76 llm 49882001 |
67|AP|hta con hvi|K87
67||Codigo ciap mas apropiado | D14
67|Differ GT|Recomienda LLM HDA simil 51 AP: D14|37372002
67|fallo|No tenemos ciap|123772008 
68|AP|consulta no acude|A97
68|fallo|No tenemos ciap|719407002 
69|AP|consulta sin acudir|A97
69|fallo|No tenemos ciap|1237136005 
70|AP|consulta no acude|A97
70|fallo|No tenemos ciap|719407002 
71|AP|no acudio|A97
71|fallo|No tenemos ciap|271817008 
72|AP|no acude tras cita previa|A97
72||Codigo ciap mas apropiado | X04
72|Differ GT|Recomienda LLM vagina no observada simil 53 AP: X04|289512004
72|fallo|No tenemos ciap|289468006 
73|AP|consulta sin enfermedad|A97
73|fallo|No tenemos ciap|1290509001 
74|AP|no acude|A97
74|fallo|No tenemos ciap|302045007 
75|AP|tratamiento con acod|B83
75|fallo|No tenemos ciap|54552008 
76|AP|consulta demanda sin acudir|A97
76|fallo|No tenemos ciap|1290509001 
77|AP|ferropenia sin anemia|B80
77|correcto|correcto AP B80 llm 87522002 |
78|AP|ferropenia sin anemia|B80
78|correcto|correcto AP B80 llm 87522002 |
79|AP|ferropenia sin anemia|B80
79|correcto|correcto AP B80 llm 87522002 |
80|AP|deficit b12 sin anemia gastritis atr fica|B81
80|correcto|correcto AP B81 llm 1153409008 |
81|AP|deficit b12 sin anemia gastritis atr fica|B81
81|correcto|correcto AP B81 llm 1153409008 |
82|AP|tratamiento con sintrom|B83
82||Codigo ciap mas apropiado | W05
82|Differ GT|Recomienda LLM trastornos sintomáticos en el embarazo simil 65 AP: W05|237284001
82||Codigo ciap mas apropiado | P29
82||Codigo ciap mas apropiado | L18
82||Codigo ciap mas apropiado | S20
82||Codigo ciap mas apropiado | A90
82||Codigo ciap mas apropiado | X99
82||Codigo ciap mas apropiado | A78
82||Codigo ciap mas apropiado | L19
82||Codigo ciap mas apropiado | S16
82||Codigo ciap mas apropiado | A86
82||Codigo ciap mas apropiado | L81
82||Codigo ciap mas apropiado | A80
82||Codigo ciap mas apropiado | T82
82||Codigo ciap mas apropiado | D91
82||Codigo ciap mas apropiado | P06
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: P29|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: L18|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: S20|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: A90|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: X99|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: A78|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: L19|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: S16|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: A86|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: L81|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: A80|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: T82|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: D91|429054002
82|Differ GT|Recomienda LLM2  trastornos sintomáticos en el embarazo simil 62 AP: P06|429054002
83|AP|dispepsia no investigada|D07
83|correcto|correcto AP D07 llm 162031009 |
84|AP|hematomas v mitos con sangre|S16
84||Codigo ciap mas apropiado | S75
84||Codigo ciap mas apropiado | N99
84||Codigo ciap mas apropiado | Y16
84||Codigo ciap mas apropiado | K80
84||Codigo ciap mas apropiado | R83
84||Codigo ciap mas apropiado | R99
84||Codigo ciap mas apropiado | B99
84||Codigo ciap mas apropiado | B29
84||Codigo ciap mas apropiado | B04
84||Codigo ciap mas apropiado | B79
84||Codigo ciap mas apropiado | K99
84||Codigo ciap mas apropiado | K29
84||Codigo ciap mas apropiado | K06
84||Codigo ciap mas apropiado | T28
84||Codigo ciap mas apropiado | T99
84||Codigo ciap mas apropiado | T70
84||Codigo ciap mas apropiado | S99
84||Codigo ciap mas apropiado | S03
84||Codigo ciap mas apropiado | A79
84||Codigo ciap mas apropiado | N74
84||Codigo ciap mas apropiado | B73
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: S75|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: N99|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: Y16|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: K80|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: R83|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: R99|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: B99|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: B29|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: B04|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: B79|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: K99|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: K29|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: K06|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: T28|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: T99|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: T70|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: S99|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: S03|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: A79|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: N74|129154003
84|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: B73|129154003
84||Codigo ciap mas apropiado | D14
84|Igual GT|Recomienda LLM2 neoplasia de la sangre simil 51 AP: D14|262838003
85|AP|hematomas v mitos con sangre|S16
85||Codigo ciap mas apropiado | S75
85||Codigo ciap mas apropiado | N99
85||Codigo ciap mas apropiado | Y16
85||Codigo ciap mas apropiado | K80
85||Codigo ciap mas apropiado | R83
85||Codigo ciap mas apropiado | R99
85||Codigo ciap mas apropiado | B99
85||Codigo ciap mas apropiado | B29
85||Codigo ciap mas apropiado | B04
85||Codigo ciap mas apropiado | B79
85||Codigo ciap mas apropiado | K99
85||Codigo ciap mas apropiado | K29
85||Codigo ciap mas apropiado | K06
85||Codigo ciap mas apropiado | T28
85||Codigo ciap mas apropiado | T99
85||Codigo ciap mas apropiado | T70
85||Codigo ciap mas apropiado | S99
85||Codigo ciap mas apropiado | S03
85||Codigo ciap mas apropiado | A79
85||Codigo ciap mas apropiado | N74
85||Codigo ciap mas apropiado | B73
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: S75|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: N99|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: Y16|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: K80|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: R83|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: R99|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: B99|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: B29|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: B04|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: B79|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: K99|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: K29|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: K06|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: T28|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: T99|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: T70|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: S99|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: S03|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: A79|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: N74|129154003
85|Differ GT|Recomienda LLM neoplasia de la sangre simil 52 AP: B73|129154003
85||Codigo ciap mas apropiado | D14
85|Igual GT|Recomienda LLM2 neoplasia de la sangre simil 51 AP: D14|262838003
86|AP|cambio ritmo intestinal gastro colono sin lesiones|D18
86||Codigo ciap mas apropiado | D92
86||Codigo ciap mas apropiado | D78
86|Differ GT|Recomienda LLM lesión colónica simil 66 AP: D92|67401000119103
86|Differ GT|Recomienda LLM lesión colónica simil 66 AP: D78|67401000119103
86||Codigo ciap mas apropiado | D92
86||Codigo ciap mas apropiado | D78
86|Differ GT|Recomienda LLM2  lesión colónica simil 63 AP: D92|67401000119103
86|Differ GT|Recomienda LLM2  lesión colónica simil 63 AP: D78|67401000119103
87|AP|problemas con protesis dental|D19
87||Codigo ciap mas apropiado | D29
87|Differ GT|Recomienda LLM problema dental simil 79 AP: D29|300237004
87|fallo|No tenemos ciap|404193003 
87|AP|problemas con protesis dental|D19
87||Codigo ciap mas apropiado | D29
87|Differ GT|Recomienda LLM problema dental simil 79 AP: D29|300237004
87|fallo|No tenemos ciap|404193003 
88|AP|problemas con denticion|D19
88||Codigo ciap mas apropiado | D29
88|Differ GT|Recomienda LLM problema dental simil 83 AP: D29|300237004
88|fallo|No tenemos ciap|3262009 
89|AP|problemas con erupcion dental|D19
89||Codigo ciap mas apropiado | D29
89|Differ GT|Recomienda LLM problema dental simil 86 AP: D29|300237004
89|fallo|No tenemos ciap|3262009 
90|AP|tumoracion abdominal no especificada|D24
90|correcto|correcto AP D24 llm 271860004 |
91|AP|hallazgos anti chepatitis b sin sintomas|D72
91||Codigo ciap mas apropiado | D18
91||Codigo ciap mas apropiado | D15
91||Codigo ciap mas apropiado | D16
91||Codigo ciap mas apropiado | A10
91||Codigo ciap mas apropiado | A91
91||Codigo ciap mas apropiado | D29
91|Differ GT|Recomienda LLM hallazgo relacionado con mediciones de las heces simil 55 AP: D18|300394006
91|Differ GT|Recomienda LLM hallazgo relacionado con mediciones de las heces simil 55 AP: D15|300394006
91|Differ GT|Recomienda LLM hallazgo relacionado con mediciones de las heces simil 55 AP: D16|300394006
91|Differ GT|Recomienda LLM hallazgo relacionado con mediciones de las heces simil 55 AP: A10|300394006
91|Differ GT|Recomienda LLM hallazgo relacionado con mediciones de las heces simil 55 AP: A91|300394006
91|Differ GT|Recomienda LLM hallazgo relacionado con mediciones de las heces simil 55 AP: D29|300394006
91||Codigo ciap mas apropiado | D18
91||Codigo ciap mas apropiado | D15
91||Codigo ciap mas apropiado | D16
91||Codigo ciap mas apropiado | A10
91||Codigo ciap mas apropiado | A91
91||Codigo ciap mas apropiado | D29
91|Differ GT|Recomienda LLM2  hallazgo relacionado con mediciones de las heces simil 53 AP: D18|300394006
91|Differ GT|Recomienda LLM2  hallazgo relacionado con mediciones de las heces simil 53 AP: D15|300394006
91|Differ GT|Recomienda LLM2  hallazgo relacionado con mediciones de las heces simil 53 AP: D16|300394006
91|Differ GT|Recomienda LLM2  hallazgo relacionado con mediciones de las heces simil 53 AP: A10|300394006
91|Differ GT|Recomienda LLM2  hallazgo relacionado con mediciones de las heces simil 53 AP: A91|300394006
91|Differ GT|Recomienda LLM2  hallazgo relacionado con mediciones de las heces simil 53 AP: D29|300394006
92|AP|hermano con cancer colon|D75
92||Codigo ciap mas apropiado | D78
92|Differ GT|Recomienda LLM carcinoma de colon  estadio III simil 75 AP: D78|422375001
92||Codigo ciap mas apropiado | D78
92|Differ GT|Recomienda LLM2  carcinoma de colon  estadio III simil 75 AP: D78|422985007
93|AP|enfermedad dental no especificada|D82
93|correcto|correcto AP D82 llm 234947003 |
94|AP|estomatitis no especificada|D83
94|correcto|correcto AP D83 llm 61170000 |
95|AP|enfermedad lengua no especificada|D83
95|correcto|correcto AP D83 llm 69244009 |
96|AP|conjuntivitis no especificada derecho|F02
96||Codigo ciap mas apropiado | F70
96||Codigo ciap mas apropiado | F73
96||Codigo ciap mas apropiado | F20
96|Igual GT|Recomienda LLM conjuntivitis simil 83 AP: F70|9826008
96|Differ GT|Recomienda LLM conjuntivitis simil 83 AP: F73|9826008
96|Differ GT|Recomienda LLM conjuntivitis simil 83 AP: F20|9826008
96||Codigo ciap mas apropiado | F71
96|Differ GT|Recomienda LLM2  conjuntivitis simil 80 AP: F71|231854006
97|AP|conjuntivitis no especificada ambos as|F02
97||Codigo ciap mas apropiado | F70
97||Codigo ciap mas apropiado | F73
97||Codigo ciap mas apropiado | F20
97|Igual GT|Recomienda LLM conjuntivitis simil 88 AP: F70|9826008
97|Differ GT|Recomienda LLM conjuntivitis simil 88 AP: F73|9826008
97|Differ GT|Recomienda LLM conjuntivitis simil 88 AP: F20|9826008
97||Codigo ciap mas apropiado | F70
97||Codigo ciap mas apropiado | F73
97||Codigo ciap mas apropiado | F20
97|Igual GT|Recomienda LLM2 conjuntivitis simil 83 AP: F70|9826008
97|Differ GT|Recomienda LLM2  conjuntivitis simil 83 AP: F73|9826008
97|Differ GT|Recomienda LLM2  conjuntivitis simil 83 AP: F20|9826008
98|AP|conjuntivitis no especificada|F02
98||Codigo ciap mas apropiado | F70
98||Codigo ciap mas apropiado | F73
98||Codigo ciap mas apropiado | F20
98|Igual GT|Recomienda LLM conjuntivitis simil 90 AP: F70|9826008
98|Differ GT|Recomienda LLM conjuntivitis simil 90 AP: F73|9826008
98|Differ GT|Recomienda LLM conjuntivitis simil 90 AP: F20|9826008
98||Codigo ciap mas apropiado | F70
98||Codigo ciap mas apropiado | F73
98||Codigo ciap mas apropiado | F20
98|Igual GT|Recomienda LLM2 conjuntivitis simil 85 AP: F70|9826008
